periodo_dt,periodo,plataforma,total_posts,engagement_total,engagement_promedio,controversia_total,viralidad_promedio,semana_label
2026-05-18 16:55:38.284,2026-W21,facebook,1,5000,5000.0,0,0.0,2026-05-18
2026-05-18 16:55:38.285,2026-W21,facebook,1,59016,59016.0,0,0.0,2026-05-18
2026-05-18 16:55:44.591,2026-W21,facebook,1,181016,181016.0,0,0.0,2026-05-18
2026-05-18 16:55:44.592,2026-W21,facebook,1,21300,21300.0,0,0.0,2026-05-18
2026-05-18 16:55:44.593,2026-W21,facebook,1,344,344.0,0,0.0,2026-05-18
2026-05-18 16:55:52.308,2026-W21,facebook,1,801,801.0,0,0.0,2026-05-18
2026-05-18 16:55:52.309,2026-W21,facebook,1,392,392.0,0,0.0,2026-05-18
2026-05-18 16:55:52.310,2026-W21,facebook,2,2292,1146.0,0,0.0,2026-05-18
2026-05-18 16:55:58.614,2026-W21,facebook,2,801,400.5,0,0.0,2026-05-18
2026-05-18 16:56:05.155,2026-W21,facebook,1,62,62.0,0,0.0,2026-05-18
2026-05-18 16:56:05.156,2026-W21,facebook,1,5176,5176.0,0,0.0,2026-05-18
2026-05-18 16:56:05.157,2026-W21,facebook,1,347006,347006.0,0,0.0,2026-05-18
2026-05-18 16:56:05.158,2026-W21,facebook,1,1372,1372.0,0,0.0,2026-05-18
2026-05-18 16:57:21.237,2026-W21,facebook,1,1413,1413.0,0,0.0,2026-05-18
2026-05-18 16:57:31.234,2026-W21,facebook,1,383,383.0,0,0.0,2026-05-18
2026-05-18 16:57:31.235,2026-W21,facebook,1,2601,2601.0,0,0.0,2026-05-18
2026-05-18 16:57:41.093,2026-W21,facebook,1,3205,3205.0,0,0.0,2026-05-18
2026-05-18 16:57:52.220,2026-W21,facebook,2,15424,7712.0,0,0.0,2026-05-18
2026-05-18 16:57:57.613,2026-W21,facebook,1,2942,2942.0,0,0.0,2026-05-18
2026-05-18 16:58:04.374,2026-W21,facebook,1,10,10.0,0,0.0,2026-05-18
2026-05-18 16:58:04.375,2026-W21,facebook,1,10212,10212.0,0,0.0,2026-05-18
2026-05-18 16:58:17.878,2026-W21,facebook,2,13769,6884.5,0,0.0,2026-05-18
