post_id,plataforma,total_comentarios,pct_positivo,pct_negativo,pct_neutral,score_sentimiento
7300022867905776901,tiktok,5,40.0,0.0,60.0,0.4
7334370673432775942,tiktok,5,0.0,0.0,100.0,0.0
7370057608000032005,tiktok,40,0.0,2.5,97.5,-0.025
7378154304164596997,tiktok,3,0.0,0.0,100.0,0.0
7387219669771586821,tiktok,3,0.0,0.0,100.0,0.0
7387521808691449093,tiktok,11,0.0,9.1,90.9,-0.091
7389803714074168581,tiktok,6,0.0,16.7,83.3,-0.167
7390160659004001541,tiktok,89,0.0,2.2,97.8,-0.022
7391278707274681606,tiktok,37,2.7,0.0,97.3,0.027
7391281332447612166,tiktok,7,0.0,0.0,100.0,0.0
7391290870227635461,tiktok,10,0.0,10.0,90.0,-0.1
7391464986960252166,tiktok,9,0.0,0.0,100.0,0.0
7391472183966452997,tiktok,3,33.3,0.0,66.7,0.333
7391554218840050949,tiktok,12,0.0,0.0,100.0,0.0
7391582567708822790,tiktok,3,0.0,0.0,100.0,0.0
7391652376970661125,tiktok,42,2.4,0.0,97.6,0.024
7391712527446592773,tiktok,62,0.0,1.6,98.4,-0.016
7393940585377189126,tiktok,6,0.0,0.0,100.0,0.0
7393955039947033862,tiktok,11,9.1,0.0,90.9,0.091
7393969033139211525,tiktok,22,0.0,9.1,90.9,-0.091
7393980402236525829,tiktok,58,5.2,0.0,94.8,0.052
7394007918850395398,tiktok,8,25.0,0.0,75.0,0.25
7394196241619471621,tiktok,15,6.7,6.7,86.7,0.0
7394931241251769605,tiktok,3,0.0,0.0,100.0,0.0
7395772794312658182,tiktok,3,33.3,0.0,66.7,0.333
7395788377481694470,tiktok,5,0.0,0.0,100.0,0.0
7398668907919232262,tiktok,6,0.0,0.0,100.0,0.0
7402314515066522886,tiktok,6,0.0,0.0,100.0,0.0
7405308455998852357,tiktok,4,0.0,25.0,75.0,-0.25
7411589749837712645,tiktok,3,0.0,0.0,100.0,0.0
7412675206109613318,tiktok,16,0.0,0.0,100.0,0.0
7414880728737008902,tiktok,3,0.0,0.0,100.0,0.0
7414896045244583173,tiktok,3,0.0,0.0,100.0,0.0
7419536553988361478,tiktok,5,0.0,0.0,100.0,0.0
7445847751868353797,tiktok,6,0.0,0.0,100.0,0.0
7445853413562158341,tiktok,3,33.3,0.0,66.7,0.333
7445856817990601989,tiktok,4,0.0,0.0,100.0,0.0
7454784048964046085,tiktok,7,0.0,0.0,100.0,0.0
7459859378003365125,tiktok,60,0.0,1.7,98.3,-0.017
7461710825313586437,tiktok,3,0.0,0.0,100.0,0.0
7463647303417498885,tiktok,3,66.7,0.0,33.3,0.667
7471327358587292933,tiktok,3,0.0,0.0,100.0,0.0
7472782351131479302,tiktok,3,0.0,0.0,100.0,0.0
7474670402531314950,tiktok,60,5.0,6.7,88.3,-0.017
7477719724063853879,tiktok,4,0.0,0.0,100.0,0.0
7478442822585077047,tiktok,8,25.0,0.0,75.0,0.25
7478703847389629701,tiktok,3,0.0,33.3,66.7,-0.333
7488857504256937222,tiktok,3,0.0,33.3,66.7,-0.333
7492549301013384503,tiktok,4,0.0,0.0,100.0,0.0
7497005743405534470,tiktok,3,0.0,0.0,100.0,0.0
7500989190969052471,tiktok,3,0.0,0.0,100.0,0.0
7501387460434251013,tiktok,3,0.0,0.0,100.0,0.0
7501758494689905975,tiktok,4,0.0,0.0,100.0,0.0
7509950838912060728,tiktok,9,11.1,0.0,88.9,0.111
7510377832145521926,tiktok,3,33.3,0.0,66.7,0.333
7514423904882920760,tiktok,6,0.0,0.0,100.0,0.0
7515121923735506181,tiktok,4,0.0,0.0,100.0,0.0
7518534537438121221,tiktok,4,0.0,0.0,100.0,0.0
7518558049133514040,tiktok,7,0.0,0.0,100.0,0.0
7518963271492308229,tiktok,7,14.3,0.0,85.7,0.143
7520710278439341318,tiktok,9,0.0,0.0,100.0,0.0
7521105226913434885,tiktok,47,0.0,0.0,100.0,0.0
7521438013453274424,tiktok,7,0.0,0.0,100.0,0.0
7521791312811576582,tiktok,71,2.8,1.4,95.8,0.014
7521881906196122936,tiktok,3,33.3,0.0,66.7,0.333
7522208643308162309,tiktok,8,12.5,0.0,87.5,0.125
7523281362959256837,tiktok,41,4.9,0.0,95.1,0.049
7523311052210048312,tiktok,53,7.5,0.0,92.5,0.075
7523457376561777926,tiktok,3,0.0,0.0,100.0,0.0
7523486931175460101,tiktok,5,0.0,40.0,60.0,-0.4
7524853337146035512,tiktok,4,0.0,0.0,100.0,0.0
7525649907588320518,tiktok,15,0.0,0.0,100.0,0.0
7526200701488221446,tiktok,5,0.0,0.0,100.0,0.0
7526345510551162118,tiktok,6,0.0,0.0,100.0,0.0
7526417844041469240,tiktok,8,25.0,0.0,75.0,0.25
7526576326296292614,tiktok,18,16.7,5.6,77.8,0.111
7526598249109572920,tiktok,6,0.0,0.0,100.0,0.0
7527099504806382854,tiktok,55,0.0,0.0,100.0,0.0
7527513762325187846,tiktok,56,7.1,0.0,92.9,0.071
7528078581935770886,tiktok,15,13.3,0.0,86.7,0.133
7528190377363361080,tiktok,4,0.0,0.0,100.0,0.0
